#Time since start in ms ,GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),Heading direction (°)
5957,2.93,-9.09,-13.91,25.35
5977,-10.01,2.32,0.92,25.35
5997,-10.01,2.32,0.92,25.35
6018,-10.01,2.32,0.92,24.17
6039,-2.87,-0.24,1.89,24.17
6057,-2.87,-0.24,1.89,19.53
6079,-2.87,-0.24,1.89,19.53
6098,2.44,-4.7,4.15,19.53
6117,2.44,-4.7,4.15,21.71
6137,2.44,-4.7,4.15,21.71
6157,2.44,-4.7,4.15,21.71
6177,4.09,-2.44,13.06,19.1
6198,4.09,-2.44,13.06,19.1
6218,4.09,-2.44,13.06,19.1
6237,11.47,0.98,18.74,19.1
6257,11.47,0.98,18.74,19.1
6277,11.47,0.98,18.74,19.31
6298,-9.22,-11.84,8.55,19.31
6317,-9.22,-11.84,8.55,19.48
6337,-9.22,-11.84,8.55,19.48
6357,-9.22,-11.84,8.55,19.48
6378,-0.24,6.96,2.69,20.62
6397,-0.24,6.96,2.69,20.62
6417,-0.24,6.96,2.69,20.62
6437,1.46,8.73,1.71,19.22
6457,1.46,8.73,1.71,19.22
6477,1.46,8.73,1.71,19.22
6498,-19.53,-0.43,4.7,19.22
6518,-19.53,-0.43,4.7,19.22
6537,-19.53,-0.43,4.7,17.48
6557,9.34,3.6,9.16,17.48
6578,9.34,3.6,9.16,17.48
6597,9.34,3.6,9.16,19.04
6618,9.34,3.6,9.16,19.04
6638,9.46,18.98,-0.49,16.58
6657,9.46,18.98,-0.49,16.58
6677,9.46,18.98,-0.49,16.58
6698,9.46,18.98,-0.49,16.58
6718,1.83,1.16,-21.36,16.41
6737,1.83,1.16,-21.36,16.41
6758,1.83,1.16,-21.36,16.41
6778,6.04,-1.34,-17.27,16.41
6797,6.04,-1.34,-17.27,16.41
6817,6.04,-1.34,-17.27,17.59
6837,-6.65,1.59,-17.03,17.59
6858,-6.65,1.59,-17.03,20.25
6878,-6.65,1.59,-17.03,20.25
6898,-7.02,0.61,-15.56,20.25
6917,-7.02,0.61,-15.56,20.25
6938,-7.02,0.61,-15.56,20.25
6957,-7.02,0.61,-15.56,20.25
6978,-12.82,8,9.34,20.25
6998,-12.82,8,9.34,20.25
7018,-12.82,8,9.34,21.22
7038,-8.18,-2.87,3.11,21.22
7057,-8.18,-2.87,3.11,21.22
7078,-8.18,-2.87,3.11,18.17
7097,5.92,-2.81,2.2,18.17
7118,5.92,-2.81,2.2,18.17
7137,5.92,-2.81,2.2,20.01
7158,5.92,-2.81,2.2,20.01
7179,11.9,12.57,15.69,20.01
7198,11.9,12.57,15.69,20.01
7217,11.9,12.57,15.69,20.01
7238,4.94,0.79,12.63,20.01
7258,4.94,0.79,12.63,20.01
7277,4.94,0.79,12.63,20.01
7297,4.94,0.79,12.63,16.92
7317,3.05,-15.75,7.45,16.92
7338,3.05,-15.75,7.45,16.92
7357,3.05,-15.75,7.45,17.26
7377,0.79,-6.23,5.07,17.26
7398,0.79,-6.23,5.07,18.26
7419,0.79,-6.23,5.07,18.26
7438,0.79,-6.23,5.07,18.26
7458,1.53,-1.77,2.56,18.01
7479,1.53,-1.77,2.56,18.01
7498,1.53,-1.77,2.56,18.01
7518,-11.35,0.91,4.09,18.01
7537,-11.35,0.91,4.09,18.01
7557,-11.35,0.91,4.09,20.51
7577,0.49,-1.34,-2.38,20.51
7597,0.49,-1.34,-2.38,17.28
7617,0.49,-1.34,-2.38,17.28
7638,-3.3,-6.23,-6.96,17.28
7657,-3.3,-6.23,-6.96,17.28
7677,-3.3,-6.23,-6.96,17.68
7697,-2.26,-12.33,-9.7,17.68
7717,-2.26,-12.33,-9.7,17.68
7737,-2.26,-12.33,-9.7,19.69
7757,-2.26,-12.33,-9.7,19.69
7777,10.13,-0.85,-18.98,19.69
7797,10.13,-0.85,-18.98,19.69
7817,10.13,-0.85,-18.98,19.69
7838,13.49,21.3,-11.17,19.03
7860,13.49,21.3,-11.17,19.03
7879,13.49,21.3,-11.17,21.88
7897,9.09,0.49,-11.35,21.88
7918,9.09,0.49,-11.35,21.88
7938,9.09,0.49,-11.35,21.88
7959,9.09,0.49,-11.35,23.2
7977,-6.41,-8.48,-11.72,23.2
7998,-6.41,-8.48,-11.72,24.76
8017,-6.41,-8.48,-11.72,24.76
